code_regle,type_regle,code_filiere,filiere,si,alors,priorite,explication
R_LARC_DESSIN,admissibilité,LARC,Architecture,dessin >= 15,augmenter_score_symbolique(LARC),1,La filière Architecture valorise fortement la compétence dessin.
R_LARC_MATHEMATIQUES,admissibilité,LARC,Architecture,mathematiques >= 10,augmenter_score_symbolique(LARC),1,La filière Architecture valorise fortement la compétence mathematiques.
R_LARC_INTERET_TECHNOLOGIE,admissibilité,LARC,Architecture,interet_technologie >= 12,augmenter_score_symbolique(LARC),1,La filière Architecture valorise fortement la compétence interet_technologie.
R_LARC_DESSIN_FAIBLE,exclusion_relative,LARC,Architecture,dessin < 11,réduire_score_symbolique(LARC),2,Un niveau trop faible en dessin fragilise l'adéquation avec Architecture.
R_LCA_FRANCAIS,admissibilité,LCA,Communication Appliquée,francais >= 14,augmenter_score_symbolique(LCA),1,La filière Communication Appliquée valorise fortement la compétence francais.
R_LCA_COMMUNICATION,admissibilité,LCA,Communication Appliquée,communication >= 15,augmenter_score_symbolique(LCA),1,La filière Communication Appliquée valorise fortement la compétence communication.
R_LCA_INTERET_SOCIAL,admissibilité,LCA,Communication Appliquée,interet_social >= 13,augmenter_score_symbolique(LCA),1,La filière Communication Appliquée valorise fortement la compétence interet_social.
R_LCA_FRANCAIS_FAIBLE,exclusion_relative,LCA,Communication Appliquée,francais < 10,réduire_score_symbolique(LCA),2,Un niveau trop faible en francais fragilise l'adéquation avec Communication Appliquée.
R_LDR_BIOLOGIE,admissibilité,LDR,Développement Rural,biologie >= 12,augmenter_score_symbolique(LDR),1,La filière Développement Rural valorise fortement la compétence biologie.
R_LDR_TERRAIN,admissibilité,LDR,Développement Rural,terrain >= 14,augmenter_score_symbolique(LDR),1,La filière Développement Rural valorise fortement la compétence terrain.
R_LDR_INTERET_ENVIRONNEMENT,admissibilité,LDR,Développement Rural,interet_environnement >= 15,augmenter_score_symbolique(LDR),1,La filière Développement Rural valorise fortement la compétence interet_environnement.
R_LDR_BIOLOGIE_FAIBLE,exclusion_relative,LDR,Développement Rural,biologie < 8,réduire_score_symbolique(LDR),2,Un niveau trop faible en biologie fragilise l'adéquation avec Développement Rural.
R_LGAP_LEADERSHIP,admissibilité,LGAP,Gestion et Administration des Projets,leadership >= 12,augmenter_score_symbolique(LGAP),1,La filière Gestion et Administration des Projets valorise fortement la compétence leadership.
R_LGAP_ECONOMIE,admissibilité,LGAP,Gestion et Administration des Projets,economie >= 10,augmenter_score_symbolique(LGAP),1,La filière Gestion et Administration des Projets valorise fortement la compétence economie.
R_LGAP_TERRAIN,admissibilité,LGAP,Gestion et Administration des Projets,terrain >= 11,augmenter_score_symbolique(LGAP),1,La filière Gestion et Administration des Projets valorise fortement la compétence terrain.
R_LGAP_LEADERSHIP_FAIBLE,exclusion_relative,LGAP,Gestion et Administration des Projets,leadership < 8,réduire_score_symbolique(LGAP),2,Un niveau trop faible en leadership fragilise l'adéquation avec Gestion et Administration des Projets.
R_LGC_MATHEMATIQUES,admissibilité,LGC,Génie Civil,mathematiques >= 15,augmenter_score_symbolique(LGC),1,La filière Génie Civil valorise fortement la compétence mathematiques.
R_LGC_PHYSIQUE,admissibilité,LGC,Génie Civil,physique >= 14,augmenter_score_symbolique(LGC),1,La filière Génie Civil valorise fortement la compétence physique.
R_LGC_LOGIQUE,admissibilité,LGC,Génie Civil,logique >= 12,augmenter_score_symbolique(LGC),1,La filière Génie Civil valorise fortement la compétence logique.
R_LGC_MATHEMATIQUES_FAIBLE,exclusion_relative,LGC,Génie Civil,mathematiques < 11,réduire_score_symbolique(LGC),2,Un niveau trop faible en mathematiques fragilise l'adéquation avec Génie Civil.
R_LGE_MATHEMATIQUES,admissibilité,LGE,Génie Électrique,mathematiques >= 14,augmenter_score_symbolique(LGE),1,La filière Génie Électrique valorise fortement la compétence mathematiques.
R_LGE_PHYSIQUE,admissibilité,LGE,Génie Électrique,physique >= 15,augmenter_score_symbolique(LGE),1,La filière Génie Électrique valorise fortement la compétence physique.
R_LGE_INFORMATIQUE,admissibilité,LGE,Génie Électrique,informatique >= 9,augmenter_score_symbolique(LGE),1,La filière Génie Électrique valorise fortement la compétence informatique.
R_LGE_MATHEMATIQUES_FAIBLE,exclusion_relative,LGE,Génie Électrique,mathematiques < 10,réduire_score_symbolique(LGE),2,Un niveau trop faible en mathematiques fragilise l'adéquation avec Génie Électrique.
R_LGEOT_ECONOMIE,admissibilité,LGEOT,Gestion des Entreprises et Organisation du Travail,economie >= 13,augmenter_score_symbolique(LGEOT),1,La filière Gestion des Entreprises et Organisation du Travail valorise fortement la compétence economie.
R_LGEOT_LEADERSHIP,admissibilité,LGEOT,Gestion des Entreprises et Organisation du Travail,leadership >= 12,augmenter_score_symbolique(LGEOT),1,La filière Gestion des Entreprises et Organisation du Travail valorise fortement la compétence leadership.
